Stkcd,Trdynt,Yopnprc,Yclsprc,Ynshrtrd,Ysmvosd,Ysmvttl,Yretwd,Yretnd,Yarkettype
4,2005,6.74,4.14,144242241,172459.95,347663.47,-0.39207,-0.39207,4
4,2006,4.17,4.1,215091395,213269.84,344304.4,0.237922,0.237923,4
4,2007,4.12,9.96,534959922,650285.97,836407.77,1.526439,1.526439,4
4,2008,9.86,3.56,216099026,250294.38,298957,-0.64257,-0.64257,4
4,2009,3.6,10,347474715,703074.11,839766.84,1.808989,1.808989,4
4,2010,9.5,12.04,279839521,1009881.3,1011079.28,0.204,0.204,4
4,2011,12.14,8.09,505446067,678566.42,679371.37,-0.328073,-0.328073,4
4,2012,8.17,8.18,512465458,686101.25,686929.28,0.011125,0.011125,4
4,2013,8.19,11.65,534323028,977149.1,978328.37,0.424205,0.424205,4
4,2014,11.64,15.57,623450965,1305940.9,1307516.97,0.336481,0.336481,4
4,2015,15.58,45.9,1018741715,3807950.48,3854529.8,1.947977,1.947977,4
4,2016,45.9,44.9,298414633,3724966.14,3770553.11,-0.021786,-0.021786,4
4,2017,44.81,22.38,322009630,1856727.25,1879398.19,-0.501559,-0.501559,4
5,1995,6.05,3.2,296916789,350508.11,739200,-0.423895,-0.423895,4
5,1996,3.2,9.75,1642711098,1228147.56,2590087.5,2.503903,2.503906,4
5,1997,9.61,9.1,1374936310,1490152.39,3142639.5,0.213333,0.213333,4
5,1998,9.15,5.88,775101158,1444301.55,3045942.9,-0.03077,-0.030769,4
5,1999,5.8,6.04,771487836,1483602.27,3128825.7,0.027211,0.027211,4
5,2000,6.1,7.73,1352395135,2658202.62,5037484.43,0.546106,0.441486,4
5,2001,7.75,5.17,536422349,1933319.52,3663779.01,-0.271671,-0.271222,4
5,2002,5.17,4.56,789212166,1705210.25,3231495.61,-0.117988,-0.117988,4
5,2003,4.56,2.67,668819136,998445.48,1892125.72,-0.414474,-0.414474,4
5,2004,2.68,2.2,860591491,822689.16,1559054.9,-0.17603,-0.17603,4
5,2005,2.2,1.64,916456256,613277.37,1162204.56,-0.254545,-0.254545,4
5,2006,1.63,2.49,2014606244,1536229.86,2276690.68,1.505181,1.505183,4
5,2007,2.51,7.11,4299992521,5180458.92,6500911.95,1.855422,1.855422,4
5,2008,7.12,2.48,2863176567,1809166.35,2267547.35,-0.651195,-0.651195,4
5,2009,2.49,6.02,8447088964,5500732.9,5504288.31,1.427419,1.427419,4
5,2010,6.01,3.67,4429380717,3353436.84,3355604.34,-0.390365,-0.390365,4
5,2011,3.68,3.86,806648447,3527048.01,3529327.72,0.051771,0.051771,4
5,2012,4.25,2.97,1371813623,2713816.73,2715570.81,-0.23057,-0.23057,4
5,2013,2.99,2.5,2032245022,2284357.52,2285834.02,-0.158249,-0.158249,4
5,2014,2.5,4.1,5349018459,3746346.33,3748767.79,0.64,0.64,4
